SUB_1,SUB_1 Lat,SUB_1 Long,SUB_2,SUB_2 Lat,SUB_2 Long,Shape__Length
UNKNOWN109170,,,UNKNOWN162133,,,960.8485441
UNKNOWN109170,,,UNKNOWN157853,,,530.2704773
UNKNOWN157853,,,UNKNOWN158134,,,70.92951179
UNKNOWN109309,,,UNKNOWN162134,,,2940.936396
TAP161365,,,UNKNOWN162136,,,2162.368292
UNKNOWN162137,,,TAP162138,,,196.4752774
TAP146028,,,TAP162138,,,1447.344818
ALABASTER SWITCHING STATION,,,TAP162142,,,6786.146252
TAP145974,,,TAP162142,,,5434.296937
UNKNOWN162141,,,TAP162142,,,1483.333006
TAP141933,,,TAP162144,,,1501.63567
UNKNOWN162143,,,TAP162144,,,1759.143164
UNKNOWN156685,,,TAP162042,,,11449.48349
UNKNOWN110198,,,UNKNOWN162148,,,577.2322806
UNKNOWN162153,,,TAP162154,,,465.2078018
UNKNOWN158139,,,TAP162154,,,2102.572856
TAP162154,,,TAP162159,,,1777.883856
UNKNOWN162156,,,TAP162159,,,46.61272444
TAP162159,,,TAP162161,,,920.7684924
UNKNOWN162153,,,TAP162161,,,620.0590219
TAP162161,,,TAP162163,,,673.0094907
TAP162162,,,TAP162163,,,553.3784321
UNKNOWN162036,,,TAP162162,,,33.99661898
UNKNOWN158139,,,TAP162163,,,4049.531428
CRAWFORDVILLE,,,UNKNOWN162146,,,27574.79173
UNKNOWN120602,,,UNKNOWN162152,,,11515.94452
MIDWAY,,,UNKNOWN162152,,,4249.966862
UNKNOWN120758,,,UNKNOWN162155,,,683.0694096
MIAMI DADE COUNTY RESOURCE RECOVERY FAC,,,NOT AVAILABLE,,,48.9575762
TAP160573,,,TAP161564,,,14826.57826
UNKNOWN162158,,,NOT AVAILABLE,,,54.74406299
UNKNOWN120153,,,TAP162160,,,1479.991728
MIAMI DADE COUNTY RESOURCE RECOVERY FAC,,,TAP162160,,,26.32276542
UNKNOWN162158,,,TAP162160,,,64.09838964
UNKNOWN111739,,,UNKNOWN162192,,,1097.066199
TAP160569,,,ELK CREEK,,,2832.922603
TAP160575,,,BELFRY,,,57.53502589
GILBERT,,,TAP160569,,,9253.47345
UNKNOWN162164,,,TAP162165,,,31.24161424
SPRIGG,,,TAP160575,,,9683.294373
JIM BRANCH,,,LAEGER,,,24197.35869
HUNTSVILLE,,,TAP162165,,,940.2276481
GUNTERSVILLE PRIMARY,,,UNKNOWN162166,,,124.7275797
UNKNOWN122453,,,TAP162168,,,1660.980077
UNKNOWN162167,,,TAP162168,,,54.3422882
UNKNOWN162169,,,DEADEND167184,,,4709.862542
UNKNOWN122836,,,UNKNOWN162170,,,16650.63171
TAP162171,,,UNKNOWN162172,,,52.84154444
TAP142608,,,UNKNOWN162193,,,1416.486684
UNKNOWN124816,,,TAP160597,,,18.17561728
HALES BRANCH,,,DISMAL RIVER,,,11182.15582
UNKNOWN160541,,,DISMAL RIVER,,,277.3225259
GARDEN CREEK,,,DISMAL RIVER,,,5910.102533
TURKEY PEN,,,DISMAL RIVER,,,10634.68532
UNKNOWN162194,,,TAP162195,,,206.4633632
UNKNOWN162194,,,TAP162195,,,263.0529136
TAP162195,,,TAP162197,,,4665.531097
UNKNOWN162203,,,TAP162204,,,1251.407587
TAP162204,,,UNKNOWN162205,,,4771.888855
TAP160524,,,DEADEND167195,,,3450.316169
UNKNOWN160564,,,TAP160747,,,26.55443159
UNKNOWN162206,,,TAP162207,,,180.8694926
TAP147815,,,DISMAL RIVER,,,12728.41648
TAP154622,,,TAP160523,,,9257.661784
TAP160524,,,UNKNOWN160525,,,3500.680503
TAP155471,,,TAP160601,,,2925.133565
UNKNOWN157122,,,TAP160601,,,13835.7359
TAP160601,,,UNKNOWN160602,,,75.77288652
UNKNOWN160564,,,TAP160746,,,47.58308023
TAP160746,,,TAP160747,,,24.26438467
TAP160747,,,TAP160748,,,12.24083779
TAP160561,,,DEADEND167384,,,1472.463438
UNKNOWN156533,,,TAP160561,,,40.02995144
HAMMOND STATION,,,TAP162208,,,33385.60464
UNKNOWN160749,,,TAP160794,,,15660.25698
KNOX COAL CREEK,,,TAP160538,,,7437.659617
RICHLANDS,,,TAP160561,,,360.6764383
TAP160535,,,MARVIN,,,1553.619634
UNKNOWN110775,,,TAP162208,,,14053.92748
TAP160536,,,TAP160539,,,1168.08848
TAP160536,,,UNKNOWN160537,,,69.68379685
TAP160535,,,TAP160536,,,1468.221333
TAP160534,,,TAP160535,,,1606.971153
TAP160534,,,PERMAC,,,31.10631215
TAP160532,,,TAP160534,,,482.808199
TAP160532,,,UNKNOWN160533,,,411.1349044
TAP162207,,,TAP162208,,,10667.06931
TAP161831,,,UNKNOWN162210,,,15.89660499
UNKNOWN108955,,,TAP160569,,,7675.42827
STALLINGS,,,UNKNOWN162214,,,9517.685626
UNKNOWN162214,,,TAP162215,,,2358.437681
NORTH STAUNTON,,,TAP162215,,,45706.20582
KANAWHA RIVER,,,PAX BRANCH,,,45946.33922
HOPKINSVILLE,,,TAP162174,,,13749.29632
TAP155131,,,TAP162174,,,526.6872393
TAP162173,,,TAP162174,,,22.54845887
UNKNOWN111979,,,UNKNOWN167266,,,1255.780196
TAP162171,,,TAP162173,,,3990.94753
TAP160757,,,TAP160758,,,706.9507711
UNKNOWN122631,,,TAP162173,,,656.6039132
TAP160753,,,TAP160755,,,1628.088178
TAP160755,,,DEADEND167267,,,755.2860709
TAP160755,,,TAP160756,,,3363.722778
TAP162171,,,UNKNOWN162175,,,5734.990895
GRAHAMVILLE,,,TAP162176,,,2127.213525
HIGH POINT,,,TAP162176,,,4967.954561
TAP160762,,,UNKNOWN160763,,,311.2748337
UNKNOWN160763,,,UNKNOWN160764,,,13149.40665
TAP160758,,,TAP160760,,,2478.222482
UNKNOWN157445,,,TAP160758,,,106.3190841
WYTHE,,,JACKSONS FERRY,,,35794.12523
JACKSONS FERRY,,,JACKSONS FERRY,,,1139.689905
UNKNOWN162227,,,TAP162228,,,4820.880458
PROGRESS PARK,,,JACKSONS FERRY,,,27848.46227
ELKHORN CITY,,,TAP160573,,,8952.464788
UNKNOWN147624,,,TAP162228,,,18.26673079
TAP160573,,,DRAFFIN,,,13.52050506
STONE,,,TAP160575,,,6971.510585
MOSELEY,,,TAP162228,,,6025.242124
ROANOKE ELECTRIC STEEL,,,UNKNOWN162230,,,350.2326215
ST JOHNSBURY,,,UNKNOWN162234,,,3507.906433
RUSSEL TERM,,,NOT AVAILABLE,,,1224.488586
MEADOW ROAD,,,TAP162179,,,3141.609631
TAP152742,,,TAP160543,,,6236.530183
UNKNOWN162178,,,TAP162179,,,57.22924581
JOHNS CREEK,,,TAP160542,,,3092.501622
UNKNOWN130534,,,TAP160542,,,73.47829921
SIDNEY,,,TAP160543,,,1082.192178
LESLIE METERING,,,TAP160543,,,28.08687944
TOM WATKINS,,,TAP160544,,,31.98770186
MYSTIC,,,RISER162180,,,1091.293797
BURCHES HILL,,,UNKNOWN162181,,,9442.871624
POCKET,,,TAP160578,,,15431.98513
LYNCH,,,TAP160578,,,14590.01126
UNKNOWN109428,,,TAP160578,,,382.0540061
UNKNOWN162181,,,UNKNOWN162182,,,248.0636919
GRAHAM,,,TAP162184,,,22615.84833
TAP139688,,,TAP162187,,,4452.817188
UNKNOWN136690,,,TAP162184,,,8844.511826
UNKNOWN162183,,,TAP162184,,,109.6700462
TAP162215,,,UNKNOWN162216,,,2029.362695
NORTH STAUNTON,,,UNKNOWN162216,,,45541.09271
UNKNOWN109427,,,TAP160527,,,11988.43598
HARLAN Y,,,TAP160523,,,9186.88608
TAP160523,,,TAP160524,,,3111.119306
TAP154620,,,TAP160526,,,5608.881862
UNKNOWN157919,,,TAP160526,,,767.7625148
TAP160526,,,TAP160527,,,3064.760497
TAP109488,,,TAP160527,,,5315.470912
ROCKY BRANCH,,,UNKNOWN109420,,,12968.76505
WILL COUNTY,,,UNKNOWN162196,,,8009.002142
TAP109419,,,UNKNOWN109420,,,9054.235637
UNKNOWN109421,,,TAP160529,,,1161.364622
UNKNOWN122248,,,UNKNOWN162196,,,30586.37867
UNKNOWN124695,,,UNKNOWN162218,,,188.5888892
UNKNOWN124676,,,TAP160580,,,90.07363463
UNKNOWN123135,,,UNKNOWN162220,,,11657.06683
TAP160893,,,UNKNOWN160894,,,4539.350535
TAP160892,,,TAP160893,,,15820.50093
PINEVILLE,,,TAP160529,,,19907.78567
VERMILION,,,UNKNOWN162220,,,35110.07189
UNKNOWN162219,,,UNKNOWN162220,,,184.0110193
UNKNOWN162186,,,TAP162187,,,13200.87107
TAP162235,,,UNKNOWN162236,,,52.6725183
TAP159044,,,TAP162238,,,5699.884542
UNKNOWN162237,,,TAP162238,,,44.3094541
SOUTH LAKE GENEVA,,,TAP162240,,,3429.601783
LAKE GENEVA,,,TAP162240,,,22.17438683
UNKNOWN162242,,,TAP162243,,,202.9848058
COYNE ST,,,TAP162243,,,1228.23633
UNKNOWN162244,,,TAP162245,,,78.01484035
TAP162245,,,TAP163460,,,2692.528054
WARDS HOLLOW,,,TAP162247,,,1776.134014
UNKNOWN162246,,,TAP162247,,,207.4874748
DARRAH,,,TAP162250,,,151.6376894
UNKNOWN162249,,,TAP162250,,,128.6148988
UNKNOWN129693,,,TAP162189,,,21894.35072
SAND HILL,,,WAYMAN,,,12999.20265
WAYMAN,,,TAP160582,,,15099.91191
TAP160582,,,UNKNOWN160583,,,93.20274209
TAP160582,,,UNKNOWN160584,,,838.2281309
UNKNOWN160583,,,UNKNOWN160585,,,3238.013565
UNKNOWN162188,,,TAP162189,,,52.36975327
UNKNOWN162186,,,TAP162189,,,3642.048511
UNKNOWN122351,,,TAP160593,,,32.76772495
UNKNOWN155062,,,TAP160593,,,19188.2259
WAYMAN,,,UNKNOWN160586,,,11921.27053
UNKNOWN108758,,,UNKNOWN160586,,,26599.89545
UNKNOWN116766,,,TAP160587,,,1436.49669
TAP160587,,,UNKNOWN160588,,,530.8485733
UNKNOWN122352,,,TAP160592,,,51.32766097
TAP160592,,,TAP160593,,,25639.15247
CAMBRIDGE CT,,,TAP162191,,,25048.06129
TAP162191,,,UNKNOWN162261,,,2161.01182
UNKNOWN162186,,,UNKNOWN162190,,,4324.853601
UNKNOWN162190,,,TAP162191,,,22961.42156
UNKNOWN133780,,,TAP160590,,,625.8215444
UNKNOWN121845,,,TAP160590,,,15725.11552
UNKNOWN121849,,,TAP160594,,,138.5886063
TAP139406,,,TAP162299,,,28271.48159
DECATUR ROUTE 51,,,TAP162299,,,3143.680146
TAP162298,,,TAP162299,,,125.5556746
TAP160590,,,TAP160595,,,17770.54887
UNKNOWN160591,,,TAP160595,,,30.03243747
TAP162224,,,TAP162298,,,7436.63205
TAP162222,,,TAP162224,,,579.6751524
TAP162222,,,UNKNOWN162223,,,3680.51674
UNKNOWN162221,,,TAP162222,,,1322.927912
UNKNOWN162221,,,TAP162224,,,1711.163704
UNKNOWN162300,,,TAP162301,,,7640.060459
TAP162302,,,UNKNOWN162303,,,26664.13586
UNKNOWN162305,,,TAP162306,,,35.34868012
UNKNOWN121850,,,TAP160596,,,14874.13532
TAP160595,,,TAP160596,,,16902.40933
UNKNOWN122353,,,TAP160596,,,41.10031349
UNKNOWN124811,,,TAP160597,,,7656.384982
TAP160597,,,TAP160599,,,21919.16034
UNKNOWN160598,,,TAP160599,,,622.4266738
TAP162306,,,TAP162307,,,177.229213
TAP162307,,,DEADEND,,,798.2041158
TAP162307,,,TAP162309,,,3946.86835
UNKNOWN124812,,,TAP160600,,,60.05601928
UNKNOWN124814,,,TAP160600,,,14735.49515
TAP162309,,,UNKNOWN162310,,,532.8221606
TAP162309,,,TAP162311,,,2582.487433
TAP162311,,,UNKNOWN162312,,,590.6211496
TAP162311,,,TAP162314,,,7889.868085
UNKNOWN162313,,,TAP162314,,,32.15828997
JOPPA,,,TAP162314,,,4358.308797
TAP162306,,,TAP162316,,,3091.497646
UNKNOWN162315,,,TAP162316,,,198.6472404
TAP162316,,,UNKNOWN162317,,,3740.333805
UNKNOWN127858,,,UNKNOWN160603,,,12083.88446
UNKNOWN124683,,,UNKNOWN160603,,,14696.66835
UNKNOWN157195,,,TAP162265,,,32.77435969
UNKNOWN129654,,,BLAINE,,,22385.3591
UNKNOWN131513,,,TAP162262,,,68.26255562
TAP162262,,,TAP162263,,,8689.745347
UNKNOWN125284,,,TAP160604,,,36.21746763
UNKNOWN158283,,,TAP162263,,,7413.337712
UNKNOWN122360,,,TAP160606,,,37.27160054
UNKNOWN110062,,,TAP160995,,,2298.858042
TAP162263,,,UNKNOWN162264,,,16069.64698
UNKNOWN162264,,,TAP162265,,,7125.327793
TAP162265,,,TAP162267,,,14976.15134
UNKNOWN133834,,,UNKNOWN160922,,,25921.53281
TAP160995,,,UNKNOWN160996,,,1808.858543
UNKNOWN112710,,,TAP141859,,,2378.297816
UNKNOWN112704,,,TAP160608,,,1728.967882
TAP141859,,,TAP160572,,,1227.412607
TAP141859,,,TAP160608,,,3718.404305
UNKNOWN162266,,,TAP162267,,,45.83576907
PERRY,,,TAP160570,,,5508.298973
UNKNOWN131564,,,TAP162267,,,5852.624557
UNKNOWN131564,,,BLAINE,,,25011.39793
TAP141858,,,TAP160607,,,1972.706838
LEXINGTON,,,TAP162268,,,155.539678
UNKNOWN112705,,,TAP160609,,,10864.42814
PERRY,,,TAP160609,,,7492.750474
TAP162268,,,TAP162269,,,7333.116609
TAP162269,,,TAP162270,,,4176.903825
TAP142439,,,TAP160546,,,22456.93245
TAP160549,,,TAP160551,,,20930.18616
UNKNOWN112706,,,TAP160548,,,3931.540815
UNKNOWN160547,,,TAP160548,,,577.9679442
TAP160548,,,TAP160549,,,13363.85527
UNKNOWN160550,,,TAP160551,,,61.46853442
TAP160546,,,TAP160551,,,7069.950519
CHEMICAL,,,TAP162247,,,4044.362472
SKIN FORK,,,LATROBE,,,19770.0017
OCEANA,,,SKIN FORK,,,21885.89952
UNKNOWN129422,,,TAP162270,,,34.10692765
UNKNOWN129654,,,TAP162270,,,5996.736673
UNKNOWN129654,,,UNKNOWN129656,,,2035.926056
CLAREMONT SUBSTATION,,,TAP152836,,,3894.825682
MOLLY'S CREEK SUBSTATION,,,BRACKENS CREEK STATION,,,24107.04472
UNKNOWN129654,,,TAP162271,,,5594.973458
UNKNOWN158278,,,TAP162271,,,35.23255741
UNKNOWN129436,,,TAP162269,,,2290.94918
WEST MOUNT VERNON,,,TAP162321,,,6246.384496
UNKNOWN162320,,,TAP162321,,,2178.37938
JIM BRANCH,,,TAP160618,,,15965.88166
BEARWALLOW,,,TAP160618,,,7277.547674
BERWIND,,,TAP160618,,,6749.130101
BERWIND,,,FARADAY,,,7681.855662
UNKNOWN162328,,,TAP162329,,,201.1703602
BRADLEY,,,PAX BRANCH,,,15396.94145
UNKNOWN160146,,,TAP162329,,,621.918629
TAP160147,,,UNKNOWN162330,,,1689.022479
UNKNOWN160146,,,UNKNOWN162330,,,599.9274244
UNKNOWN162328,,,UNKNOWN162330,,,299.6401683
UNKNOWN162334,,,TAP162336,,,65.28226451
UNKNOWN162334,,,TAP162335,,,66.65893739
TAP162335,,,TAP162336,,,19.35998483
SCARBRO,,,PAX BRANCH,,,11079.38058
THOROFARE CREEK,,,UNKNOWN160620,,,2796.801753
WEST HUNTINGTON,,,TAP162251,,,26952.34065
TAP162250,,,TAP162251,,,105.9508002
TAP162251,,,TAP162254,,,172.8864961
UNKNOWN162252,,,TAP162254,,,46.43450659
UNKNOWN162253,,,TAP162254,,,371.3658503
UNKNOWN113936,,,TAP162260,,,54481.38058
TAP162260,,,NOT AVAILABLE,,,1076.095178
SCARBRO,,,UNKNOWN160622,,,6031.02546
TAP152837,,,UNKNOWN160622,,,8715.196712
UNKNOWN157194,,,TAP162271,,,3294.258765
UNKNOWN129436,,,UNKNOWN157194,,,7381.32224
EUSTIS,,,UNKNOWN108498,,,8719.641971
UNKNOWN160624,,,TAP160625,,,58.87586394
FAYETTEVILLE (AP) SUBSTATION,,,TAP160625,,,3354.817001
GAULEY MOUNTAIN,,,TAP160623,,,9332.899456
TAP160623,,,TAP160625,,,191.7579979
UNKNOWN108850,,,TAP160623,,,10039.28281
TAP167099,,,DEADEND167100,,,304.0395426
TAP162336,,,TAP162337,,,1574.924431
UNKNOWN156496,,,TAP162337,,,427.9169048
TAP162337,,,TAP162338,,,6181.901455
TAP162338,,,TAP162339,,,2535.087011
TAP162339,,,UNKNOWN162340,,,2029.472087
TAP162339,,,UNKNOWN162343,,,14223.22758
UNKNOWN162393,,,TAP162394,,,43.05405134
TAP162394,,,TAP162395,,,12.59446093
UNKNOWN162393,,,TAP162395,,,43.92155115
UNKNOWN132876,,,UNKNOWN162272,,,21186.31661
DEADEND167097,,,TAP167098,,,478.8003531
UNKNOWN129693,,,UNKNOWN162272,,,29577.53905
KENDALLVILLE,,,TAP160631,,,10362.59364
TAP160631,,,UNKNOWN160632,,,116.9816875
TAP160631,,,TAP160634,,,11820.27674
ALBION,,,TAP160634,,,136.5129484
UNKNOWN160633,,,TAP160634,,,88.55172376
UNKNOWN131422,,,TAP162353,,,3836.970089
SOUTH SUMMITVILLE,,,UNKNOWN160637,,,15764.81373
UNKNOWN162259,,,TAP162260,,,24457.50761
UNKNOWN162352,,,TAP162353,,,247.0072389
UNKNOWN129169,,,TAP162355,,,1385.395986
UNKNOWN162354,,,TAP162355,,,257.6772372
UNKNOWN108883,,,BELLE WEST VIRGINIA PLANT,,,1278.949196
ALADDIN,,,STRAWTON,,,20412.82529
JONES CREEK,,,ALADDIN,,,24599.37328
UNKNOWN160567,,,STRAWTON,,,3402.823892
UNKNOWN129817,,,TAP162278,,,60459.453
OHIO OIL,,,ELWOOD,,,3093.125431
HUNTERTOWN,,,TAP160648,,,10103.15517
OHIO OIL,,,STRAWTON,,,13500.04953
SOUTH SUMMITVILLE,,,STRAWTON,,,16859.91626
NOBLE,,,BUTLER CENTER,,,13723.62585
AUBURN (138KV),,,BUTLER,,,25773.79736
LAOTTO,,,TAP160648,,,3025.804712
PINE HILL,,,UNKNOWN163667,,,9050.020902
WOODSTOWN,,,UNKNOWN161363,,,22767.66042
UNKNOWN162277,,,TAP162278,,,2550.540599
TAP162273,,,TAP162278,,,27268.19911
UNKNOWN129718,,,TAP162276,,,8754.161376
UNKNOWN162275,,,TAP162276,,,146.8287339
UNKNOWN129715,,,UNKNOWN129718,,,12550.82598
TAP162273,,,TAP162276,,,17095.19148
TAP162273,,,UNKNOWN162274,,,63.85457173
LINCOLN,,,TAP160661,,,14973.65659
HASSEN CASSEL,,,TAP160661,,,76.20827076
TAP160661,,,MULDOON MILL,,,4356.042836
MULDOON MILL,,,YOST BRIDGE,,,25012.63596
TAP162280,,,TAP162281,,,9923.68947
UNKNOWN162279,,,TAP162280,,,39.36286484
UNKNOWN130315,,,TAP162283,,,5965.00856
UNKNOWN162282,,,TAP162283,,,66.18869856
TAP162280,,,TAP162283,,,30204.92256
AMERICAN CRYSTAL SUGAR DRAYTON,,,TAP161648,,,19591.0123
AMERICAN CRYSTAL SUGAR DRAYTON,,,TAP162284,,,10787.52514
UNKNOWN134528,,,TAP162284,,,109.6731593
TAP134542,,,TAP162284,,,32009.55605
TAP134542,,,UNKNOWN134547,,,2346.515214
TAP162285,,,UNKNOWN162286,,,264.9491561
UNKNOWN130969,,,TAP162285,,,16823.4432
ALLEN,,,TILLMAN,,,14370.17688
UNKNOWN130965,,,TAP162287,,,283.4872852
TAP135628,,,TAP162287,,,21055.22633
ALLEN,,,LINCOLN,,,30681.30199
TAP162285,,,TAP162287,,,28391.53675
TAP162288,,,UNKNOWN162289,,,88.7229463
TILLMAN,,,TIMBER SWITCH,,,12612.26483
HAVILAND,,,TIMBER SWITCH,,,18352.34282
HUNTINGTON JUNCTION,,,ROCK CREEK,,,13175.40755
TWIN BRANCH (345 KV),,,TWIN BRANCH (138 KV),,,389.3662443
UNKNOWN129714,,,TAP162290,,,41.45660921
TAP162288,,,TAP162290,,,13935.50233
ANCHOR HOCKING,,,PRICE,,,13746.01034
UNKNOWN124049,,,PRICE,,,3785.132971
UNKNOWN129712,,,TAP162290,,,3582.697746
TAP162288,,,TAP162291,,,13006.43091
TAP162394,,,TAP162396,,,2210.843389
UNKNOWN156904,,,TAP162396,,,221.7349834
TAP162396,,,TAP162397,,,5889.930876
TAP162397,,,TAP162399,,,8974.863275
TAP162395,,,TAP162402,,,1042.272667
TAP162402,,,UNKNOWN162403,,,2090.752275
MARION N,,,TAP162402,,,4337.539697
DOUBS,,,NEW CREEK WIND,,,189564.7333
MOUNT STORM,,,NEW CREEK WIND,,,16485.97163
TAP162362,,,UNKNOWN162363,,,4089.736124
TAP162362,,,UNKNOWN162364,,,19345.044
UNKNOWN156939,,,TAP162366,,,12533.32138
SAINT JOSEPH,,,UNKNOWN162404,,,17279.29201
IATAN,,,UNKNOWN162404,,,49774.18757
UNKNOWN117454,,,UNKNOWN162404,,,8575.333446
UNKNOWN117504,,,UNKNOWN162404,,,3824.258455
PLATTE CITY,,,UNKNOWN162407,,,22083.57956
TAP138787,,,UNKNOWN162407,,,2334.960826
UNKNOWN121069,,,UNKNOWN162408,,,14968.5541
UNKNOWN162412,,,TAP162413,,,355.5644518
UNKNOWN132775,,,ROLETTE,,,62240.12559
UNKNOWN134211,,,UNKNOWN160714,,,1047.341567
PECKVILLE,,,TAP162366,,,3512.690285
UNKNOWN162365,,,TAP162366,,,83.41476269
UNKNOWN132775,,,RUGBY,,,4482.952067
UNKNOWN134210,,,TAP160715,,,873.6796716
TAP134224,,,TAP160715,,,1264.600324
TAP160715,,,TAP160716,,,12001.94424
UNKNOWN134229,,,TAP160716,,,7568.103762
UNKNOWN123662,,,UNKNOWN162368,,,5024.773414
PLEASANT VALLEY,,,UNKNOWN160679,,,7690.552908
BATTENKILL,,,UNKNOWN135808,,,3750.9593
TAP162413,,,TAP162415,,,579.4312062
SAUGERTIES,,,UNKNOWN135706,,,781.1193305
TAP162413,,,UNKNOWN162414,,,467.006205
TAP162415,,,UNKNOWN162416,,,93.21172606
TAP162415,,,UNKNOWN162417,,,1072.34278
O'FALLON RENEWABLE ENERGY CENTER,,,TAP162418,,,2234.627188
O'FALLON RENEWABLE ENERGY CENTER,,,TAP168409,,,2218.962734
TAP139442,,,TAP168409,,,9528.995743
UNKNOWN162412,,,TAP162418,,,2153.440891
UNKNOWN162458,,,UNKNOWN162459,,,7171.978128
UNKNOWN111286,,,UNKNOWN162459,,,975.5671728
TAP162461,,,TAP162462,,,2585.979957
TAP160757,,,TAP162462,,,3755.213473
TAP160761,,,TAP162461,,,52.99686963
UNKNOWN129862,,,TAP162292,,,481.7412043
TAP162292,,,TAP162294,,,2400.903951
UNKNOWN162293,,,TAP162294,,,371.4321496
BEMIDJI 115KV,,,TAP162294,,,8586.585511
UNKNOWN162295,,,TAP162296,,,9675.595745
UNKNOWN133998,,,TAP162296,,,11220.2778
UNKNOWN130312,,,TAP134504,,,4913.320869
TAP162297,,,UNKNOWN162425,,,29108.95321
TAP162297,,,TAP162422,,,12308.87882
UNKNOWN130313,,,TAP162422,,,7241.348655
TAP146788,,,LYCOMING,,,41933.57561
SAVILLE,,,TAP162375,,,4061.386904
UNKNOWN162374,,,TAP162375,,,146.0470612
FIRSTENERGY ASHTABULA,,,NOT AVAILABLE,,,90.26454219
FIRSTENERGY ASHTABULA,,,NOT AVAILABLE,,,96.97722256
TAP162423,,,UNKNOWN162424,,,53.99970308
TAP162423,,,TAP162426,,,34714.66511
SAND HILL,,,TAP162427,,,69.82462934
TAP162426,,,TAP162427,,,15.58472871
WINGER,,,TAP162427,,,42645.92819
FOSSTON MUNICIPAL,,,TAP162427,,,8646.052907
TAP162426,,,UNKNOWN162428,,,46227.38394
UNKNOWN130668,,,TAP162423,,,31391.45607
UNKNOWN130165,,,TAP162431,,,3897.702767
UNKNOWN162463,,,TAP162464,,,7032.942512
TAP148060,,,TAP162464,,,6397.352388
UNKNOWN114350,,,TAP162467,,,30056.55094
TAP162466,,,TAP162467,,,325.3301909
BEAR CREEK SOLAR,,,TAP162466,,,20388.60762
UNKNOWN111142,,,TAP162468,,,3052.080807
UNKNOWN162469,,,TAP162470,,,2037.045217
UNKNOWN111208,,,TAP162470,,,326.1879452
TAP162470,,,UNKNOWN162471,,,889.6304302
TAP148037,,,TAP162475,,,5775.227636
UNKNOWN162474,,,TAP162475,,,84.0716447
TAP162468,,,UNKNOWN162484,,,1352.572433
TAP162468,,,UNKNOWN162485,,,10166.93729
UNKNOWN162429,,,TAP162431,,,18513.81546
TAP162431,,,UNKNOWN162432,,,9743.976214
PEQUOT LAKES,,,UNKNOWN163663,,,30667.38068
TAP136163,,,TAP162435,,,16981.92306
TAP162433,,,TAP162435,,,19884.00266
TAP162433,,,UNKNOWN162434,,,609.7663366
UNKNOWN131412,,,TAP162433,,,20865.31002
UNKNOWN162476,,,UNKNOWN162477,,,12139.01047
TAP148376,,,TAP162480,,,5310.728866
UNKNOWN162479,,,TAP162480,,,3990.693706
UNKNOWN162481,,,TAP162482,,,7234.275983
BARNARD CREEK,,,TAP162482,,,292.8095548
UNKNOWN162483,,,TAP162487,,,526.4819283
TAP162486,,,TAP162487,,,27.60942882
UNKNOWN162483,,,TAP162486,,,448.5411072
TAP162487,,,TAP173607,,,2368.910985
TAP162488,,,TAP162489,,,2296.462602
TAP162489,,,TAP162490,,,2403.297023
UNKNOWN114118,,,TAP162490,,,929.5381531
TAP162489,,,TAP162491,,,1709.145088
TAP162491,,,UNKNOWN162492,,,354.0964347
TAP162491,,,TAP162493,,,1288.986459
TAP162493,,,TAP162494,,,758.6300183
TAP162494,,,TAP162495,,,511.6316142
TAP162495,,,UNKNOWN162496,,,142.6114347
TAP162495,,,TAP173607,,,1031.401736
TAP162488,,,TAP162497,,,1445.259808
FAYETTEVILLE,,,TAP162497,,,764.499621
FAYETTEVILLE,,,TAP162498,,,762.4175403
TAP162497,,,TAP162498,,,12.35107778
TAP162498,,,TAP162499,,,4808.385798
TAP162499,,,TAP162500,,,2016.05889
TAP162486,,,TAP162500,,,1276.05736
TAP162494,,,TAP162501,,,2409.610095
TAP162501,,,UNKNOWN162502,,,117.5381802
TAP162501,,,TAP162503,,,67.91437069
TAP134466,,,TAP160683,,,722.5121757
UNKNOWN162502,,,TAP162507,,,1136.753259
UNKNOWN162502,,,TAP162503,,,185.8759122
FAYETTEVILLE,,,TAP162503,,,2340.949888
UNKNOWN114105,,,UNKNOWN162505,,,3501.61634
UNKNOWN162506,,,TAP162507,,,1539.730191
TAP162493,,,TAP162509,,,2971.880707
TAP162509,,,UNKNOWN162512,,,23.90869726
TAP162509,,,TAP162513,,,4352.727664
TAP162513,,,TAP162515,,,5408.30117
UNKNOWN162514,,,TAP162515,,,85.15962526
UNKNOWN131412,,,TAP162438,,,40367.09496
TAP162438,,,TAP162439,,,45266.30363
UNKNOWN129693,,,TAP162439,,,4177.536823
TAP139664,,,TAP162440,,,11816.91695
UNKNOWN129666,,,TAP162440,,,1078.975268
TAP139664,,,TAP162441,,,12704.22263
BENTON,,,TAP162441,,,12206.41417
UNKNOWN158063,,,TAP162441,,,8122.389313
TAP162440,,,TAP162442,,,16221.38779
UNKNOWN131520,,,TAP162442,,,9018.558623
TAP162442,,,TAP162443,,,4581.178956
TAP162444,,,TAP162446,,,4661.074101
BENTON,,,TAP162446,,,19573.46326
TAP162446,,,UNKNOWN162447,,,11602.98518
TAP162444,,,UNKNOWN162445,,,998.5023731
TAP162443,,,TAP162444,,,6933.54202
TAP162439,,,TAP162449,,,43671.4472
UNKNOWN162448,,,TAP162449,,,108.8062978
UNKNOWN162514,,,TAP162516,,,3728.144077
TAP162517,,,TAP162518,,,789.4919416
TAP162518,,,TAP173608,,,1085.51554
